click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,37.0,9.5,523,397,110,16,0,0,595,114,965
0,49.8,8.9,1202,620,471,97,6,8,1274,139,217
1,35.0,8.6,8300,3761,3669,805,49,16,9548,1656,11247
1,21.0,8.9,25370,14716,8626,1902,101,25,31389,721,16410
1,79.0,9.1,1780,1158,465,115,19,23,2070,1459,24898
1,28.0,8.4,3696,1405,1701,543,40,7,5234,515,7486
1,20.0,8.1,131028,40004,60859,26625,2754,786,185580,10229,93767
1,22.0,9.0,529982,339380,151953,34944,2647,1058,690421,17265,144713
0,59.9,6.5,9396,2954,2756,2257,912,517,8993,1231,9856
0,160.0,9.2,2050,1307,564,151,20,8,1949,748,34359
0,28.0,8.1,58766,17983,25622,12870,1704,587,80057,5440,35715
1,30.0,9.1,19963,12498,6269,1118,59,19,24244,2255,38809
1,68.0,7.6,5858,1475,2552,1522,245,64,5990,1107,7923
1,30.0,7.1,7709,1133,2976,3053,478,69,9321,565,7392
1,38.0,8.9,11618,6442,4283,824,46,23,12759,703,13996
1,68.0,8.2,1392,500,675,199,13,5,1431,335,10143
1,28.0,8.5,3049,1238,1348,436,21,6,3877,733,5419
1,48.0,8.0,2031,645,958,368,50,10,2154,164,3248
1,11.0,8.1,2637,773,1346,477,34,7,6549,248,5826
1,35.0,8.9,4771,2734,1613,377,28,19,5110,415,1054
0,13.0,8.2,9048,3113,4217,1520,153,45,11068,902,14710
0,49.8,8.3,13420,5105,6516,1679,107,13,14898,944,13256
0,23.0,8.5,86585,37059,37232,11083,952,259,108681,4360,20983
0,58.0,9.3,345,158,165,21,1,0,319,122,7080
1,35.0,8.3,1584,630,738,185,22,9,1840,69,172
1,48.0,8.6,1477,579,674,192,25,7,1598,150,2467
1,22.0,8.8,10029,5396,3621,922,80,10,12355,1035,23000
1,11.0,8.4,49322,20321,20222,7497,937,345,68752,14756,65801
1,59.0,9.0,27181,16782,8554,1629,162,54,27749,5313,93750
1,140.0,9.0,460,313,97,38,6,6,433,470,8719
1,48.0,8.3,1993,669,991,307,25,1,2192,458,11541
1,29.0,8.9,607775,347996,215977,40153,2433,1216,860024,56303,360028
1,9.7,8.3,8190,2960,3911,1246,65,8,21238,153,3706
1,13.0,9.3,30769,22032,7385,1261,61,30,43013,3551,25259
1,26.0,8.8,32115,16508,12108,3179,256,64,35856,8236,20439
0,228.0,8.9,309,180,108,20,1,0,336,90,722
1,28.0,8.4,2118,782,998,311,21,6,2543,407,7479
1,28.0,8.8,3861,1923,1607,297,27,7,4311,169,2377
1,20.0,7.6,57469,14080,25057,15862,1781,689,91632,1063,6701
1,18.35,7.9,3263,900,1598,704,48,13,14435,132,2976
0,19.5,9.1,166508,111894,43791,9824,666,333,228524,1966,25261
0,14.0,8.4,8959,3611,3862,1344,107,35,13042,1575,11756
1,22.0,8.7,1580,823,627,123,6,1,1780,123,719
